Data/Hora Inclusão,Data/Hora Evento,IMEI,Sequência,Tipo Mensagem,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Alimentação Externa,Alimentação interna,Analog Input Status,Satélites,Duração da Ignição,Velocidade,Azimuth,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Realtime positioning,GPS valido,Hodômetro Total (km),Horímetro Total,Tipo de Rede,Qualidade do sinal de GSM
2025-08-07 17:41:26,,0865209077286178,18,Login,77,GT06V4,,,,,,,,,,,
2025-08-07 17:41:28,,0865209077286178,19,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 17:41:29,2025-08-07 20:39:24,0865209077286178,15,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,45,352,-23.320189,-51.176538,02D4,05,9C6B,90131D,0,1,43.4,,,
2025-08-07 17:41:30,2025-08-07 20:39:33,0865209077286178,20,Temporizada,77,GT06V4,0,14.30,,1,10,,31,352,-23.319311,-51.176653,02D4,05,9C6B,068FCA0A,0,1,43.5,27-22:42:10,0,
2025-08-07 17:41:31,2025-08-07 20:40:33,0865209077286178,21,Temporizada,77,GT06V4,0,14.30,,1,10,,37,352,-23.317998,-51.176849,02D4,06,C4A7,07A55334,0,1,43.6,27-22:43:10,0,
2025-08-07 17:41:34,2025-08-07 20:41:33,0865209077286178,22,Temporizada,77,GT06V4,0,14.20,,1,10,,10,352,-23.317056,-51.176973,02D4,05,9C6B,068FFD1E,0,1,43.7,27-22:44:10,0,
2025-08-07 17:41:38,,0865209077286178,23,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 17:42:34,2025-08-07 20:42:33,0865209077286178,24,Temporizada,77,GT06V4,0,14.10,,1,10,,0,354,-23.316413,-51.177053,02D4,05,9C6B,068FFD1E,0,1,43.7,27-22:45:10,0,
2025-08-07 17:43:34,2025-08-07 20:43:33,0865209077286178,25,Temporizada,77,GT06V4,0,14.10,,1,10,,0,354,-23.315869,-51.177120,02D4,05,9C6B,068FFD1E,0,1,43.7,27-22:46:10,0,
2025-08-07 17:44:34,2025-08-07 20:44:33,0865209077286178,26,Temporizada,77,GT06V4,0,14.20,,1,10,,10,354,-23.315144,-51.177222,02D4,05,9C6B,068FFD1E,0,1,43.7,27-22:47:10,0,
2025-08-07 17:45:16,2025-08-07 20:45:16,0865209077286178,27,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,43,352,-23.312316,-51.177618,02D4,05,9C6B,8FFD1E,0,1,44.3,,,
2025-08-07 17:45:54,2025-08-07 20:45:33,0865209077286178,28,Temporizada,77,GT06V4,0,14.10,,1,10,,40,352,-23.310704,-51.177836,02D4,05,9C6B,068FFD00,0,1,44.5,27-22:48:10,0,
2025-08-07 17:45:54,,0865209077286178,29,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 17:45:54,2025-08-07 20:45:33,0865209077286178,28,Temporizada,77,GT06V4,0,14.10,,1,10,,40,352,-23.310704,-51.177836,02D4,05,9C6B,068FFD00,0,1,44.5,27-22:48:10,0,
2025-08-07 17:46:17,2025-08-07 20:46:17,0865209077286178,30,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,46,350,-23.306940,-51.178356,02D4,05,9C6B,90A808,0,1,44.9,,,
2025-08-07 17:46:34,2025-08-07 20:46:33,0865209077286178,31,Temporizada,77,GT06V4,0,13.90,,1,10,,0,354,-23.306589,-51.178400,02D4,05,9C6B,0690BC09,0,1,44.9,27-22:49:10,0,
2025-08-07 17:47:34,2025-08-07 20:47:33,0865209077286178,32,Temporizada,77,GT06V4,0,14.10,,1,11,,49,352,-23.305160,-51.178596,02D4,05,9C6B,0690BC09,0,1,45.1,27-22:50:10,0,
2025-08-07 17:47:35,2025-08-07 20:47:35,0865209077286178,33,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,48,352,-23.304916,-51.178627,02D4,05,9C6B,90BC09,0,1,45.1,,,
2025-08-07 17:48:34,2025-08-07 20:48:33,0865209077286178,34,Temporizada,77,GT06V4,0,13.80,,1,12,,13,354,-23.302627,-51.178956,02D4,05,9C6B,0690BC09,0,1,45.4,27-22:51:10,0,
2025-08-07 17:49:34,2025-08-07 20:49:33,0865209077286178,35,Temporizada,77,GT06V4,0,13.60,,1,11,,26,336,-23.300824,-51.177649,02D4,05,9C6B,06900600,0,1,45.7,27-22:52:10,0,
2025-08-07 17:49:39,,0865209077286178,36,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 17:50:10,2025-08-07 20:50:07,0865209077286178,37,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,46,82,-23.300336,-51.174316,02D4,05,9C6B,900600,0,1,46.1,,,
2025-08-07 17:50:34,2025-08-07 20:50:33,0865209077286178,38,Temporizada,77,GT06V4,0,13.90,,1,11,,14,96,-23.300260,-51.173622,02D4,05,9C6B,0690BC08,0,1,46.1,27-22:53:10,0,
2025-08-07 17:51:34,2025-08-07 20:51:33,0865209077286178,39,Temporizada,77,GT06V4,0,13.90,,1,11,,24,38,-23.299562,-51.173311,02D4,05,9C6B,0692FA1D,0,1,46.3,27-22:54:10,0,
2025-08-07 17:51:56,2025-08-07 20:51:56,0865209077286178,40,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,51,0,-23.297484,-51.173298,02D4,05,9C6B,92FA1E,0,1,46.5,,,
2025-08-07 17:52:34,2025-08-07 20:52:33,0865209077286178,41,Temporizada,77,GT06V4,0,13.80,,1,11,,32,0,-23.293580,-51.173191,02D4,05,9C6B,0692FA00,0,1,46.9,27-22:55:10,0,
2025-08-07 17:53:34,2025-08-07 20:53:33,0865209077286178,42,Temporizada,77,GT06V4,0,13.70,,1,11,,0,4,-23.293393,-51.173164,02D4,05,A053,06900B09,0,1,47.0,27-22:56:10,0,
2025-08-07 17:53:38,,0865209077286178,43,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 17:54:14,2025-08-07 20:54:14,0865209077286178,44,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,46,0,-23.289911,-51.173013,02D4,05,A053,900B01,0,1,47.4,,,
2025-08-07 17:54:34,2025-08-07 20:54:33,0865209077286178,45,Temporizada,77,GT06V4,0,13.90,,1,10,,46,0,-23.287711,-51.172951,02D4,05,A053,06900B01,0,1,47.6,27-22:57:10,0,
2025-08-07 17:55:36,2025-08-07 20:55:33,0865209077286178,46,Temporizada,77,GT06V4,0,13.90,,1,11,,18,78,-23.284189,-51.166862,02D4,05,A053,06900B01,0,1,48.5,27-22:58:10,0,
2025-08-07 17:56:35,2025-08-07 20:56:33,0865209077286178,47,Temporizada,77,GT06V4,0,13.70,,1,12,,43,80,-23.283100,-51.159773,02D4,05,A053,06908906,0,1,49.2,27-22:59:10,0,
2025-08-07 17:57:38,2025-08-07 20:57:33,0865209077286178,48,Temporizada,77,GT06V4,0,13.70,,1,12,,46,72,-23.282082,-51.153644,02D4,05,A053,06908902,0,1,49.8,27-23:00:10,0,
2025-08-07 17:57:38,,0865209077286178,49,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 17:57:58,2025-08-07 20:57:57,0865209077286178,50,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,50,68,-23.281231,-51.151467,02D4,05,A053,90891C,0,1,50.1,,,
2025-08-07 17:58:35,2025-08-07 20:58:33,0865209077286178,51,Temporizada,77,GT06V4,0,13.90,,1,12,,0,68,-23.280891,-51.149973,02D4,05,A053,0690891C,0,1,50.2,27-23:01:10,0,
2025-08-07 17:59:34,2025-08-07 20:59:33,0865209077286178,52,Temporizada,77,GT06V4,0,14.00,,1,12,,41,324,-23.280227,-51.149187,02D4,05,A053,0690891C,0,1,50.4,27-23:02:10,0,
2025-08-07 17:59:42,2025-08-07 20:59:42,0865209077286178,53,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,54,358,-23.279042,-51.149293,02D4,05,A053,90891C,0,1,50.5,,,
2025-08-07 18:00:35,2025-08-07 21:00:33,0865209077286178,54,Temporizada,77,GT06V4,0,13.60,,1,12,,0,358,-23.275491,-51.149262,02D4,05,A053,0690891C,0,1,51.0,27-23:03:10,0,
2025-08-07 18:00:54,2025-08-07 21:00:53,0865209077286178,55,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,63,0,-23.273700,-51.149262,02D4,05,A053,90891C,0,1,51.1,,,
2025-08-07 18:01:35,2025-08-07 21:01:33,0865209077286178,56,Temporizada,77,GT06V4,0,13.80,,1,12,,48,56,-23.268893,-51.147533,02D4,05,A053,0690891C,0,1,51.7,27-23:04:10,0,
2025-08-07 18:01:38,,0865209077286178,57,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 18:03:10,2025-08-07 21:02:33,0865209077286178,58,Temporizada,77,GT06V4,0,13.90,,1,12,,43,0,-23.267989,-51.142218,02D4,05,A053,0690891C,0,1,52.3,27-23:05:10,0,
2025-08-07 18:03:45,,0865209077286178,59,Login,77,GT06V4,,,,,,,,,,,
2025-08-07 18:03:48,,0865209077286178,60,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 18:03:49,2025-08-07 21:03:41,0865209077286178,58,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,56,90,-23.265331,-51.139436,02D4,05,A053,90AA01,0,1,52.9,,,
2025-08-07 18:03:50,2025-08-07 21:02:33,0865209077286178,61,Temporizada,77,GT06V4,0,13.90,,1,12,,43,0,-23.267989,-51.142218,02D4,05,A053,0690891C,0,1,52.3,27-23:05:10,0,
2025-08-07 18:03:50,2025-08-07 21:03:33,0865209077286178,62,Temporizada,77,GT06V4,0,13.70,,1,12,,47,90,-23.265304,-51.140573,02D4,05,A053,0690AA01,0,1,52.8,27-23:06:10,0,
2025-08-07 18:04:35,2025-08-07 21:04:33,0865209077286178,63,Temporizada,77,GT06V4,0,13.80,,1,12,,0,340,-23.265289,-51.137991,02D4,05,A053,06908900,0,1,53.0,27-23:07:10,0,
2025-08-07 18:05:03,2025-08-07 21:05:01,0865209077286178,64,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,48,268,-23.265296,-51.139827,02D4,06,C4A7,A72934,0,1,53.2,,,
2025-08-07 18:05:35,2025-08-07 21:05:33,0865209077286178,65,Temporizada,77,GT06V4,0,13.90,,1,12,,47,180,-23.266173,-51.141133,02D4,05,A053,0690AA1D,0,1,53.4,27-23:08:10,0,
2025-08-07 18:06:36,,0865209077286178,66,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,03
2025-08-07 18:06:36,2025-08-07 21:06:33,0865209077286178,67,Temporizada,77,GT06V4,0,13.60,,1,12,,39,270,-23.267278,-51.144667,02D4,05,9C6B,0690BC1C,0,1,53.9,27-23:09:10,0,
2025-08-07 18:07:35,2025-08-07 21:07:33,0865209077286178,70,Temporizada,77,GT06V4,0,13.40,,1,11,,9,262,-23.269431,-51.148373,02D4,05,A053,06908908,0,1,54.4,27-23:10:10,0,
2025-08-07 18:08:03,2025-08-07 21:08:02,0865209077286178,71,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,61,286,-23.269260,-51.150289,02D4,05,A053,908900,0,1,54.6,,,
2025-08-07 18:08:52,2025-08-07 21:08:33,0865209077286178,72,Temporizada,77,GT06V4,0,13.50,,1,12,,68,336,-23.265902,-51.153716,02D4,05,A053,06908900,0,1,55.2,27-23:11:10,0,
2025-08-07 18:08:52,2025-08-07 21:08:33,0865209077286178,72,Temporizada,77,GT06V4,0,13.50,,1,12,,68,336,-23.265902,-51.153716,02D4,05,A053,06908900,0,1,55.2,27-23:11:10,0,
2025-08-07 18:09:35,2025-08-07 21:09:33,0865209077286178,73,Temporizada,77,GT06V4,0,13.60,,1,12,,6,344,-23.259160,-51.157391,02D4,05,A053,06901D02,0,1,56.0,27-23:12:10,0,
2025-08-07 18:10:23,,0865209077286178,74,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 18:10:25,2025-08-07 21:10:24,0865209077286178,75,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,56,170,-23.260427,-51.157227,02D4,05,A053,901D02,0,1,56.3,,,
2025-08-07 18:10:35,2025-08-07 21:10:33,0865209077286178,76,Temporizada,77,GT06V4,0,13.50,,1,12,,47,170,-23.261571,-51.156991,02D4,05,A053,06901D02,0,1,56.5,27-23:13:10,0,
2025-08-07 18:11:35,2025-08-07 21:11:33,0865209077286178,77,Temporizada,77,GT06V4,0,13.50,,1,12,,62,268,-23.262584,-51.164404,02D4,05,A053,06900E01,0,1,57.3,27-23:14:10,0,
2025-08-07 18:12:12,2025-08-07 21:12:11,0865209077286178,78,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,68,182,-23.264262,-51.167102,02D4,05,A053,900E01,0,1,57.7,,,
2025-08-07 18:12:35,2025-08-07 21:12:33,0865209077286178,79,Temporizada,77,GT06V4,0,13.60,,1,12,,29,210,-23.267384,-51.167396,02D4,05,A053,0690821E,0,1,58.1,27-23:15:09,0,
2025-08-07 18:15:42,,0865209077286178,0,Login,77,GT06V4,,,,,,,,,,,
2025-08-07 18:15:44,,0865209077286178,1,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 18:15:45,2025-08-07 21:12:52,0865209077286178,2,Temporizada,77,GT06V4,0,13.90,,1,6,,0,0,-23.270251,-51.167227,0000,00,0000,00000000,0,1,58.4,27-23:15:26,0,
2025-08-07 18:16:26,2025-08-07 21:16:24,0865209077286178,3,Temporizada,77,GT06V4,0,13.80,,1,11,,28,268,-23.268098,-51.169902,02D4,05,A053,0692D60A,0,1,58.5,27-23:16:27,0,
2025-08-07 18:23:13,,0865209077286178,0,Login,77,GT06V4,,,,,,,,,,,
2025-08-07 18:23:15,,0865209077286178,1,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-07 18:23:16,2025-08-07 21:15:50,0865209077286178,2,Temporizada,77,GT06V4,0,13.50,,1,6,,0,0,-23.268116,-51.172013,0000,00,0000,00000000,0,1,58.4,27-23:15:26,0,
2025-08-07 18:23:58,2025-08-07 21:16:50,0865209077286178,3,Temporizada,77,GT06V4,0,13.70,,1,7,,0,0,-23.268116,-51.172013,02D4,05,A053,0692D60A,0,0,58.4,27-23:16:26,0,
2025-08-07 18:24:58,2025-08-07 21:24:57,0865209077286178,4,Temporizada,77,GT06V4,0,13.30,,1,10,,11,0,-23.270353,-51.167756,02D4,05,A053,0692D60A,0,1,58.4,27-23:17:26,0,
2025-08-08 07:04:58,,0865209077286178,0,Login,77,GT06V4,,,,,,,,,,,
2025-08-08 07:05:00,,0865209077286178,1,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 07:05:01,2025-08-07 21:24:58,0865209077286178,2,Temporizada,77,GT06V4,0,14.30,,1,6,,0,0,-23.270353,-51.167756,0000,00,0000,00000000,0,1,58.4,27-23:17:26,0,
2025-08-08 07:05:43,2025-08-08 10:05:42,0865209077286178,3,Temporizada,77,GT06V4,0,14.20,,1,8,,27,0,-23.268804,-51.167867,02D4,05,A053,0692D60A,0,1,58.5,27-23:18:26,0,
2025-08-08 07:06:43,2025-08-08 10:06:42,0865209077286178,4,Temporizada,77,GT06V4,0,14.20,,1,11,,37,268,-23.268071,-51.171071,02D4,05,A053,0692D60A,0,1,58.9,27-23:19:26,0,
2025-08-08 07:11:24,,0865209077286178,0,Login,77,GT06V4,,,,,,,,,,,
2025-08-08 07:11:26,,0865209077286178,1,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 07:11:27,2025-08-08 10:05:07,0865209077286178,2,Temporizada,77,GT06V4,0,14.20,,1,6,,0,0,-23.268069,-51.171871,0000,00,0000,00000000,0,1,58.4,27-23:19:26,0,
2025-08-08 07:12:08,2025-08-08 10:12:07,0865209077286178,3,Temporizada,77,GT06V4,0,14.30,,1,12,,49,0,-23.263391,-51.172302,02D4,05,A053,06900E02,0,1,58.7,27-23:20:42,0,
2025-08-08 07:12:28,2025-08-08 10:12:28,0865209077286178,4,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,44,88,-23.262784,-51.170551,02D4,05,A053,900E02,0,1,58.9,,,
2025-08-08 07:13:08,2025-08-08 10:13:07,0865209077286178,5,Temporizada,77,GT06V4,0,14.40,,1,12,,51,88,-23.262751,-51.166529,02D4,05,A053,06900E01,0,1,59.3,27-23:21:42,0,
2025-08-08 07:13:59,2025-08-08 10:13:59,0865209077286178,6,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,50,88,-23.262742,-51.159947,02D4,05,A053,90821D,0,1,60.0,,,
2025-08-08 07:14:08,2025-08-08 10:14:07,0865209077286178,7,Temporizada,77,GT06V4,0,14.40,,1,12,,56,88,-23.262740,-51.158791,02D4,05,A053,0690821D,0,1,60.1,27-23:22:42,0,
2025-08-08 07:15:08,2025-08-08 10:15:07,0865209077286178,8,Temporizada,77,GT06V4,0,14.30,,1,11,,56,148,-23.267331,-51.153160,02D4,05,A053,06901D06,0,1,60.9,27-23:23:42,0,
2025-08-08 07:15:28,,0865209077286178,9,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 07:16:08,2025-08-08 10:16:07,0865209077286178,10,Temporizada,77,GT06V4,0,14.40,,1,12,,30,68,-23.270824,-51.148996,02D4,05,A053,06908904,0,1,61.6,27-23:24:42,0,
2025-08-08 07:18:18,,0865209077286178,12,Login,77,GT06V4,,,,,,,,,,,
2025-08-08 07:18:20,,0865209077286178,13,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 07:18:21,2025-08-08 10:17:07,0865209077286178,11,Temporizada,77,GT06V4,0,14.30,,1,12,,38,90,-23.268718,-51.143911,02D4,05,A053,06908904,0,1,62.2,27-23:25:42,0,
2025-08-08 07:18:22,2025-08-08 10:18:07,0865209077286178,14,Temporizada,77,GT06V4,0,14.20,,1,11,,25,0,-23.266913,-51.141124,02D4,05,A053,0690AA09,0,1,62.7,27-23:26:43,0,
2025-08-08 07:18:42,2025-08-08 10:18:42,0865209077286178,15,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,46,90,-23.265329,-51.139182,02D4,05,A053,90AA01,0,1,63.0,,,
2025-08-08 07:19:08,2025-08-08 10:19:07,0865209077286178,16,Temporizada,77,GT06V4,0,14.10,,1,12,,0,340,-23.265284,-51.138013,02D4,05,A053,06908900,0,1,63.2,27-23:27:42,0,
2025-08-08 07:20:08,2025-08-08 10:20:07,0865209077286178,17,Temporizada,77,GT06V4,0,14.20,,1,12,,49,182,-23.266164,-51.138236,02D4,05,A053,06908900,0,1,63.2,27-23:28:42,0,
2025-08-08 07:20:11,,0865209077286178,18,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 07:20:13,2025-08-08 10:20:13,0865209077286178,19,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,58,182,-23.266980,-51.138271,02D4,05,A053,90AA01,0,1,63.3,,,
2025-08-08 07:21:08,2025-08-08 10:21:07,0865209077286178,20,Temporizada,77,GT06V4,0,14.20,,1,12,,58,180,-23.274007,-51.138511,02D4,05,A053,0690AA1D,0,1,64.1,27-23:29:42,0,
2025-08-08 07:22:08,2025-08-08 10:22:07,0865209077286178,21,Temporizada,77,GT06V4,0,14.20,,1,12,,49,180,-23.281616,-51.138711,02D4,05,A053,06901108,0,1,65.0,27-23:30:42,0,
2025-08-08 07:23:08,2025-08-08 10:23:07,0865209077286178,22,Temporizada,77,GT06V4,0,14.20,,1,12,,44,182,-23.291413,-51.138960,02D4,05,A053,06901100,0,1,66.1,27-23:31:42,0,
2025-08-08 07:24:08,2025-08-08 10:24:07,0865209077286178,23,Temporizada,77,GT06V4,0,14.20,,1,13,,25,270,-23.292978,-51.139991,02D4,05,A053,06901100,0,1,66.3,27-23:32:42,0,
2025-08-08 07:24:11,,0865209077286178,24,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 07:25:11,2025-08-08 10:25:07,0865209077286178,25,Temporizada,77,GT06V4,0,14.00,,1,13,,12,268,-23.292951,-51.141596,02D4,05,A053,06901100,0,1,66.5,27-23:33:42,0,
2025-08-08 07:25:28,2025-08-08 10:25:28,0865209077286178,26,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,49,270,-23.292938,-51.143653,02D4,05,9C6B,92F900,0,1,66.7,,,
2025-08-08 07:26:08,2025-08-08 10:26:07,0865209077286178,27,Temporizada,77,GT06V4,0,14.00,,1,13,,53,270,-23.292893,-51.149120,02D4,05,9C6B,0692F900,0,1,67.2,27-23:34:42,0,
2025-08-08 07:27:08,2025-08-08 10:27:07,0865209077286178,28,Temporizada,77,GT06V4,0,13.90,,1,12,,6,266,-23.292876,-51.152080,02D4,05,9C6B,0692F91E,0,1,67.5,27-23:35:42,0,
2025-08-08 07:28:08,2025-08-08 10:28:07,0865209077286178,29,Temporizada,77,GT06V4,0,14.10,,1,12,,25,270,-23.292864,-51.152844,02D4,05,9C6B,0692F91E,0,1,67.6,27-23:36:42,0,
2025-08-08 07:28:11,,0865209077286178,30,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 07:28:34,2025-08-08 10:28:34,0865209077286178,31,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,45,270,-23.292844,-51.155782,02D4,05,A053,908905,0,1,67.9,,,
2025-08-08 07:29:08,2025-08-08 10:29:07,0865209077286178,32,Temporizada,77,GT06V4,0,13.90,,1,12,,0,268,-23.292853,-51.159031,02D4,05,9C6B,06900301,0,1,68.2,27-23:37:42,0,
2025-08-08 07:30:08,2025-08-08 10:30:07,0865209077286178,33,Temporizada,77,GT06V4,0,13.90,,1,12,,0,270,-23.292836,-51.160738,02D4,05,9C6B,06900300,0,1,68.4,27-23:38:42,0,
2025-08-08 07:30:49,2025-08-08 10:30:49,0865209077286178,34,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,50,270,-23.292816,-51.162636,02D4,05,9C6B,900300,0,1,68.6,,,
2025-08-08 07:31:08,2025-08-08 10:31:07,0865209077286178,35,Temporizada,77,GT06V4,0,14.00,,1,12,,65,270,-23.292718,-51.165582,02D4,05,9C6B,06900300,0,1,68.9,27-23:39:42,0,
2025-08-08 07:33:18,,0865209077286178,38,Login,77,GT06V4,,,,,,,,,,,
2025-08-08 07:33:20,,0865209077286178,39,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-08 07:33:21,2025-08-08 10:32:07,0865209077286178,36,Temporizada,77,GT06V4,0,13.90,,1,12,,27,284,-23.292316,-51.172893,0000,00,0000,00000000,0,1,69.6,27-23:40:42,0,
2025-08-08 07:33:22,2025-08-08 10:33:07,0865209077286178,40,Temporizada,77,GT06V4,0,13.90,,1,12,,0,174,-23.295536,-51.173369,02D4,05,9C6B,0692FA00,0,1,70.0,27-23:41:42,0,
2025-08-08 07:33:36,2025-08-08 10:33:36,0865209077286178,41,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,48,182,-23.297593,-51.173476,02D4,05,9C6B,90BC0C,0,1,70.3,,,
2025-08-08 07:34:08,2025-08-08 10:34:07,0865209077286178,42,Temporizada,77,GT06V4,0,13.90,,1,12,,29,182,-23.299760,-51.173556,02D4,05,9C6B,0692FA1E,0,1,70.5,27-23:42:42,0,
2025-08-08 07:34:58,2025-08-08 10:34:58,0865209077286178,43,Exesso de velocidade,77,GT06V4,,,Bateria extremamente alta,,12,,45,268,-23.300593,-51.177956,02D4,05,9C6B,90BC0C,0,1,71.0,,,
2025-08-08 07:35:08,2025-08-08 10:35:07,0865209077286178,44,Temporizada,77,GT06V4,0,13.60,,1,12,,21,236,-23.300707,-51.178796,02D4,05,9C6B,06900604,0,1,71.1,27-23:43:42,0,
2025-08-08 07:36:08,2025-08-08 10:36:07,0865209077286178,45,Temporizada,77,GT06V4,0,13.90,,1,12,,22,172,-23.303124,-51.178964,02D4,05,9C6B,06900600,0,1,71.3,27-23:44:42,0,
2025-08-08 07:36:54,,0865209077286178,46,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
